1157,BUSINESS MONITOR INTERNATIONAL LIMITED,Zimbabwe,Africa & Middle East,GBR,Professional Services,Market research and public opinion polling,Others,Low,0
1158,BUSINESS MONITOR INTERNATIONAL LIMITED,Zimbabwe,Africa & Middle East,ZWE,Professional Services,Market research and public opinion polling,Others,Low,0
1159,L S VENTURES PVT LTD,Zimbabwe,Africa & Middle East,ZWE,Travel,Travel Agencies,Hotel&Servapart,Low,0
1160,ZFN CAPITAL (PRIVATE) LIMITED,Zimbabwe,Africa & Middle East,ZWE,Professional Services,All Other Professional~ Scientific~ and Technical Services,Others,Low,0
1161,Spinal Africa Investments Private Limite,Zimbabwe,Africa & Middle East,ZWE,OfficeSerSupp,Office Supplies (except Paper) Manufacturing,Mach&Appliance,Low,0
1162,Advertising Industries (1991) Private Li,Zimbabwe,Africa & Middle East,ZWE,Marketing,Marketing Consulting Services,Media,Low,0
1163,CRAFT SILICON LIMITED,Zimbabwe,Africa & Middle East,KEN,Technology,TECHNOLOGY,Others,Low,0
1164,STANDARD DEVELOPMENT FUND,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rates&Tax,Medium,0
1165,SELECT TECHNOLOGIES PRIVATE LIMITED,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,HWDesktop,Medium,0
1166,MINING AND INDUSTRIAL SUPPLIERS,Zimbabwe,Africa & Middle East,ZWE,OfficeSerSupp,Office Supplies (except Paper) Manufacturing,OffSup,Low,0
1167,ELOGANCE INVESTMENTS (PRIVATE) LIMITED,Zimbabwe,Africa & Middle East,ZWE,Marketing,Marketing Consulting Services,DistMkgServ,Low,0
1168,TWENTY FIRST CENTURY BUILDING,Zimbabwe,Africa & Middle East,ZWE,Property,All Other Professional~ Scientific~ and Technical Services,Fitout&Improv,Low,0
1169,PREMIER AUTO SERVICES PRIVATE LIMITED,Zimbabwe,Africa & Middle East,ZWE,HR,Human Resources Consulting Services,ExptServ,Medium,0
1170,CITY PARKING (PVT) LTD,Zimbabwe,Africa & Middle East,ZWE,Property,Parking Lots and Garages,Parking,Medium,0
1171,CITY OF MASVINGO,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Energy,Low,0
1172,MUNICIPALITY OF VICTORIA FALLS,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rates&Tax,Low,0
1173,CITY OF KADOMA,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rates&Tax,Low,0
1174,MUNICIPALITY OF CHINHOYI,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rates&Tax,Low,0
